area_type,availability,location,size,society,total_sqft,bath,balcony,price
Super built-up  Area,Ready To Move,Kengeri Satellite Town,2 BHK,Mameser,635,1,1,50
Super built-up  Area,Ready To Move,Ardendale,4 BHK,AWharde,2062,3,,168
Built-up  Area,Ready To Move,Thanisandra,3 BHK,G conTh,1874,4,1,158
Plot  Area,18-Apr,Vidyaranyapura,4 Bedroom,,600,3,2,106
Super built-up  Area,18-Jun,Old Madras Road,2 BHK,Saesttt,1171,2,2,103
Super built-up  Area,Ready To Move,Sarjapur,3 BHK,,2020,3,3,113
Super built-up  Area,18-Jan,8th Phase JP Nagar,2 BHK,,1059,2,2,62.5
Super built-up  Area,Ready To Move,Panathur,3 BHK,Saite G,1315,2,1,87.1
Super built-up  Area,Ready To Move,Jakkur,3 BHK,BrdgeNo,1760,3,2,138
Built-up  Area,Ready To Move,Sampangi Rama Nagar,2 Bedroom,,1200,2,1,153
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,Koagati,1192,2,1,90
Super built-up  Area,19-Jun,Hebbal,3 BHK,Raard B,1645,3,2,149
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Veales ,1250,2,2,100
Super built-up  Area,19-Dec,Whitefield,1 BHK,Oreldhi,524 - 894,1,0,62.385
Super built-up  Area,Ready To Move,Whitefield,2 BHK,,1340,2,1,105
Built-up  Area,Ready To Move,Cooke Town,3 BHK,,2388,4,3,267
Super built-up  Area,18-Jun,Hosa Road,2 BHK,Sosisic,1369.1,2,1,132
Super built-up  Area,Ready To Move,Jalahalli West,2 BHK,,1355,2,3,103
Built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,,1150,2,2,93
Super built-up  Area,19-Dec,Kanakapura,3 BHK,GoityEt,1938,3,3,141
Super built-up  Area,19-Jun,Begur Road,4 BHK,,2462,4,3,152
Super built-up  Area,Ready To Move,Budigere,3 BHK,PrityTr,1636,3,2,113
Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,DLhtsnd,1430,2,2,103
Super built-up  Area,Ready To Move,BEML Layout 5th stage,3 BHK,,2000,3,2,113
Carpet  Area,18-May,Electronic City Phase II,3 BHK,MJtroty,993,2,2,78
Plot  Area,Ready To Move,Laggere,4 Bedroom,,1260,4,1,178
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,,1700,3,3,116
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,Shana S,1270,2,2,106
Plot  Area,18-Apr,Anjanapura,3 Bedroom,,1500,3,1,149
Built-up  Area,Ready To Move,Koramangala,3 BHK,,2300,3,3,318
Plot  Area,18-Mar,Hunasamaranahalli,4 Bedroom,EmardBo,7500,4,2,928
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,,1650,3,3,114.45
Super built-up  Area,Ready To Move,Panathur,2 BHK,Suriaa ,1109,2,1,91
Super built-up  Area,Ready To Move,Pragathi Nagar,2 BHK,Metrais,1280,2,1,77.75
Built-up  Area,Ready To Move,Sarjapur,4 Bedroom,,2885,3,1,213
Plot  Area,Ready To Move,Banashankari,9 Bedroom,,1200,9,1,173
Plot  Area,Ready To Move,Devanahalli,3 Bedroom,Prowser,1600,3,2,208
Super built-up  Area,Ready To Move,Kothanur,3 BHK,,1462,3,3,99
Super built-up  Area,19-Mar,Marathahalli,1 BHK,Unezes ,607,1,1,63
Super built-up  Area,Ready To Move,Kammasandra,2 BHK,,930,2,0,53
Plot  Area,17-Nov,Varthur,4 Bedroom,,4500,5,2,328
Plot  Area,Ready To Move,Sahakara Nagar,5 Bedroom,,1200,5,,188
Super built-up  Area,Ready To Move,Malleshwaram,3 BHK,,2600,3,1,265
Super built-up  Area,Ready To Move,JP Nagar,4 BHK,,3000,4,2,168
Super built-up  Area,18-May,Electronic City Phase II,3 BHK,Coomee ,1418,3,2,80.47
Built-up  Area,Ready To Move,Ramesh Nagar,2 Bedroom,,4200,1,2,188
Built-up  Area,Ready To Move,EPIP Zone,2 BHK,ValiaCa,1125,2,1,93
Super built-up  Area,Ready To Move,CV Raman Nagar,3 BHK,Pu270a ,1825,3,2,154
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Veales ,1320,2,3,107.5
Built-up  Area,Ready To Move,JP Nagar,4 Bedroom,,3000,4,2,168
Super built-up  Area,Ready To Move,HAL 2nd Stage,3 BHK,MamalPr,1490,2,2,328
Plot  Area,Ready To Move,8th block Koramangala,4 Bedroom,,1650,3,1,328
Super built-up  Area,20-Dec,Whitefield,2 BHK,Oreldhi,750,2,1,80.7
Super built-up  Area,19-Dec,Yelahanka,3 BHK,Masser ,1400,2,2,108.54
Super built-up  Area,Ready To Move,Sathya Sai Layout,4 BHK,Prowshi,4104,4,3,388
Built-up  Area,Ready To Move,Rajaji Nagar,4 BHK,,5000,4,0,403
Plot  Area,Ready To Move,Mahadevpura,5 Bedroom,,3295,4,2,288
Plot  Area,Ready To Move,A Narayanapura,4 Bedroom,,1150,3,1,138
Plot  Area,18-Jul,Whitefield,3 Bedroom,,1200,3,1,89.96
Built-up  Area,Ready To Move,Poorna Pragna Layout,2 BHK,Pathira,965,2,2,76
Plot  Area,Ready To Move,Gottigere,1 Bedroom,,812,1,1,54
Super built-up  Area,Ready To Move,KR Puram,2 BHK,HovasTe,1100,2,2,71
Super built-up  Area,Ready To Move,Whitefield,2 BHK,SSthamh,1180,2,2,69
Super built-up  Area,Ready To Move,HSR Layout,2 BHK,NRosete,1145,2,2,76
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,,1027,2,1,72
Super built-up  Area,18-Apr,Silk Board,2 BHK,,1215,2,2,77.85
Plot  Area,Ready To Move,Hegde Nagar,2 Bedroom,,1200,2,0,103
Super built-up  Area,Ready To Move,Kenchenahalli,2 BHK,AriosPa,1015,2,2,86
Plot  Area,18-May,Kaggalipura,3 Bedroom,AxvamTa,2400,3,1,193
Plot  Area,Ready To Move,Whitefield,4 Bedroom,Prrry M,3000,4,3,334
Built-up  Area,Ready To Move,7th Phase JP Nagar,3 Bedroom,,3300,4,3,188
Super built-up  Area,Ready To Move,Puttanahalli,2 BHK,,1076,2,2,80
Super built-up  Area,18-Dec,JP Nagar,2 BHK,Shestut,1300,2,1,137
Built-up  Area,Ready To Move,Hebbal Kempapura,2 BHK,Goateds,1300,2,2,130
Super built-up  Area,19-Jun,Hosa Road,3 BHK,Sosisic,1512,3,1,151
Carpet  Area,18-Dec,Bhoganhalli,3 BHK,Rosha I,1053.4,3,1,116.91
Super built-up  Area,Ready To Move,Yeshwanthpur,1 BHK,VSlistr,540 - 670,1,0,69.745
Super built-up  Area,Ready To Move,Hormavu,2 BHK,NStusD ,1153,2,1,93
Plot  Area,Ready To Move,Virat Nagar,2 Bedroom,,2080,2,1,178
Super built-up  Area,Ready To Move,Hulimavu,2 BHK,RatosAr,1255,2,2,97
Built-up  Area,Ready To Move,Bannerghatta Road,4 BHK,,315Sq. Yards,5,,288
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,PueraRi,1583,3,3,137
Super built-up  Area,Ready To Move,Kundalahalli Colony,2 BHK,Goourta,1505,2,2,118
Super built-up  Area,Ready To Move,Kathriguppe,3 BHK,,1365,2,2,103.08
Plot  Area,Ready To Move,Dwarka Nagar,3 Bedroom,,1200,3,3,123.75
Super built-up  Area,Ready To Move,Amblipura,3 BHK,IDldsin,1810,4,3,176
Built-up  Area,Ready To Move,Magadi Road,1 Bedroom,,440,1,0,63
Super built-up  Area,Ready To Move,Subramanyapura,2 BHK,Mayne A,975,2,1,91
Super built-up  Area,Ready To Move,Doddagubbi,2 BHK,,1250,2,3,67
Super built-up  Area,Ready To Move,Gopalkrishna Nagar,3 BHK,MJarlPe,1530,2,1,125
Super built-up  Area,Ready To Move,Kereguddadahalli,3 BHK,DSdorSp,1300,2,2,67
Super built-up  Area,Ready To Move,Channasandra,2 BHK,,1115,2,1,68
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,SJityaz,1308,2,1,111
Super built-up  Area,Ready To Move,Parappana Agrahara,2 BHK,Peide L,1194,2,2,75
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,,1490,2,2,87.6
Plot  Area,Ready To Move,Bannerghatta Road,4 Bedroom,,10000,4,0,478
Super built-up  Area,19-Apr,Sarjapur  Road,3 BHK,Brareio,1592,3,1,119
Super built-up  Area,18-Jun,Rajaji Nagar,2 BHK,Puwerun,1222,2,0,140
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1267,2,2,70.85
Super built-up  Area,Ready To Move,Balagere,1 BHK,Soresea,656,1,1,81
Plot  Area,Ready To Move,Dodda Nekkundi,4 Bedroom,Adstah ,3400,4,3,558
Built-up  Area,Ready To Move,Garudachar Palya,4 BHK,NatanNi,4500,5,,428
Plot  Area,18-Nov,Chandapura,2 Bedroom,,1200,1,1,64
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,1698,3,2,130
Built-up  Area,Ready To Move,Tata Nagar,3 BHK,Karchru,1500,3,2,98
Plot  Area,Ready To Move,Sunkadakatte,4 Bedroom,,2000,5,0,108
Super built-up  Area,18-Mar,Electronic City,2 BHK,Prarkun,1152,2,1,93.75
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,1 BHK,,550,1,0,49
Super built-up  Area,Ready To Move,Pattandur Agrahara,2 BHK,ShaleSp,900,2,2,70
Super built-up  Area,18-Mar,Rajarajeshwari nagar,3 BHK,,1410,2,2,73.12
Built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,DLhtsnd,1419,2,3,101
Super built-up  Area,Ready To Move,Amruthahalli,2 BHK,,1200,2,1,83
Super built-up  Area,Ready To Move,AECS Layout,3 BHK,,1800,3,3,93
Super built-up  Area,Ready To Move,Gottigere,2 BHK,Drente ,990,2,1,68
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,,1016,2,1,73
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,Saavenc,1100,2,0,67
Built-up  Area,Ready To Move,Ramamurthy Nagar,4 BHK,,850,2,1,93
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Rabow R,1095,2,1,63
Super built-up  Area,Ready To Move,Rajarajeshwarinagar,3 BHK,,2000,3,2,113
Super built-up  Area,Ready To Move,Budigere,2 BHK,PrityTr,1444,2,2,98
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Nillsre,1415,2,3,95
Plot  Area,Ready To Move,Jinkethimmanahalli,3 Bedroom,,1500,2,1,158
Super built-up  Area,Ready To Move,Daadys Gaarden Layout,3 BHK,InockHo,1600,3,3,100
Super built-up  Area,Ready To Move,Whitefield,2 BHK,SMuilan,1105,2,1,69.36
Super built-up  Area,18-Dec,Electronic City,3 BHK,S2oveat,1225,3,0,73.03
Super built-up  Area,Ready To Move,Frazer Town,3 BHK,Prook M,2560,3,2,293
Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,,1080,2,1,65.8
Plot  Area,Ready To Move,Dasarahalli,7 Bedroom,,2400,3,3,178
Super built-up  Area,18-Aug,Talaghattapura,3 BHK,Sodgere,1856,3,2,163
Super built-up  Area,Ready To Move,Haralur Road,3 BHK,NRowse ,1464,3,2,84
Plot  Area,Ready To Move,Vishwapriya Nagar,6 Bedroom,,2100,6,2,99
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Itvas S,1150,2,2,105
Plot  Area,Ready To Move,Abbigere,5 Bedroom,,1200,4,1,126
Super built-up  Area,18-Dec,Whitefield,3 BHK,Prtates,1650 - 2538,,,141.19
Super built-up  Area,Ready To Move,5th Phase JP Nagar,3 BHK,MBncele,1485,2,2,95
Super built-up  Area,Ready To Move,Vimanapura,3 BHK,Inion P,2500,3,3,103
Plot  Area,18-Aug,Whitefield,2 Bedroom,,1200,2,1,73
Super built-up  Area,18-May,Hennur Road,2 BHK,Koagati,1036,2,1,87.46
Plot  Area,Ready To Move,Whitefield,4 Bedroom,VDe 1Du,3445,5,3,298
Super built-up  Area,Ready To Move,Dodsworth Layout,2 BHK,Ciques ,1400,2,2,108
Super built-up  Area,18-Jul,Bommanahalli,2 BHK,,1110,2,2,61
Built-up  Area,Ready To Move,Kodichikkanahalli,2 BHK,Saire S,1150,2,3,76
Super built-up  Area,Ready To Move,Kenchenahalli,1 BHK,AriosPa,715,1,1,73
Plot  Area,Ready To Move,Magadi Road,4 Bedroom,,1200,4,0,158
Plot  Area,Ready To Move,Rajaji Nagar,5 Bedroom,,1200,3,1,288
Super built-up  Area,Ready To Move,Jakkur,4 BHK,UNERA P,2283,4,2,158
Plot  Area,Ready To Move,1st Stage Radha Krishna Layout,6 Bedroom,,1790,5,1,278
Super built-up  Area,18-Apr,Hormavu,3 BHK,,1453,2,2,71.58
Built-up  Area,Ready To Move,Nagarbhavi,3 BHK,Vaows M,1400,2,1,113
Super built-up  Area,Ready To Move,Padmanabhanagar,3 BHK,Naasyak,1400,3,0,93
Super built-up  Area,Ready To Move,Whitefield,3 BHK,Mithmn ,1700,3,1,168
Super built-up  Area,18-Dec,Kanakpura Road,3 BHK,PrityFa,1591,3,1,148
Super built-up  Area,Ready To Move,Nagarbhavi,3 BHK,Deens G,1515,2,1,107
Built-up  Area,Ready To Move,Marathahalli,5 Bedroom,,2500,3,3,228
Super built-up  Area,18-Aug,Chandapura,2 BHK,SunceEs,975,2,1,52.86
Super built-up  Area,Ready To Move,Yeshwanthpur,3 BHK,IBityin,1382,2,2,104.18
Plot  Area,Ready To Move,Nagasandra,7 Bedroom,,1750,5,2,378
Super built-up  Area,Ready To Move,Sector 1 HSR Layout,3 BHK,SodilDa,1533,3,2,178
Super built-up  Area,18-Feb,Cunningham Road,3 BHK,Lelia M,3815,3,1,791
Super built-up  Area,Ready To Move,Amarjyothi Colony,2 BHK,,1100,2,2,66
Super built-up  Area,Ready To Move,Dairy Circle,4 BHK,Soeurri,3730,6,2,478
Super built-up  Area,Ready To Move,Banashankari Stage II,3 BHK,,1500,2,1,148
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,Rarthne,1391,2,2,92.5
Super built-up  Area,Ready To Move,Begur Road,2 BHK,Dhalsh ,1160,2,2,70.92
Built-up  Area,Ready To Move,Chandapura,1 BHK,,620,1,1,55
Plot  Area,Ready To Move,MS Pallya,8 Bedroom,,2400,9,3,378
Plot  Area,Ready To Move,Vidyaranyapura,8 Bedroom,,1200,7,3,158
Built-up  Area,18-Jun,Whitefield,4 Bedroom,,4827,4,3,428
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,JRrnauv,1482,3,3,88.98
Super built-up  Area,Ready To Move,Whitefield,2 BHK,SBoneuc,1405,2,2,112.5
Built-up  Area,Ready To Move,Gunjur,2 BHK,Puide P,1190,2,2,68
Super built-up  Area,Ready To Move,Harlur,2 BHK,Prncyrn,1174,2,1,106
Plot  Area,Ready To Move,Seegehalli,2 Bedroom,,1155,2,0,100
Super built-up  Area,19-Mar,Thanisandra,3 BHK,Bhe 2ko,1411,3,1,121.04
Super built-up  Area,Ready To Move,Jalahalli West,2 BHK,Prntsax,745,2,0,78
Super built-up  Area,Ready To Move,Kereguddadahalli,2 BHK,Jaood G,1000,2,2,58
Super built-up  Area,Ready To Move,Jigani,2 BHK,DLhtsen,923,2,1,78
Built-up  Area,Ready To Move,Yeshwanthpur,2 BHK,IBityin,1000,2,2,60
Super built-up  Area,Ready To Move,Battarahalli,2 BHK,Srhamra,1276,2,2,73
Built-up  Area,Ready To Move,Devasthanagalu,3 BHK,Grmes L,1460,3,2,98
Super built-up  Area,19-Jul,Yemlur,2 BHK,,1355,2,1,123
Super built-up  Area,Ready To Move,Avalahalli,1 BHK,ZeodsWo,833,1,1,77
Built-up  Area,Ready To Move,Bapuji Layout,8 Bedroom,,1200,8,,303
Plot  Area,Ready To Move,Cambridge Layout,5 Bedroom,,1750,5,1,478
Super built-up  Area,18-Dec,Ramamurthy Nagar,2 BHK,Vaharvi,1200,2,1,76
Super built-up  Area,Ready To Move,Yeshwanthpur,1 BHK,IBityin,669,1,1,64.85
Plot  Area,Ready To Move,7th Phase JP Nagar,3 Bedroom,,2200,4,2,133
Super built-up  Area,18-May,Koramangala,3 BHK,SRidsrc,1594,3,,153
Super built-up  Area,Ready To Move,Kothanur,3 BHK,Somumys,1790,3,2,133
Super built-up  Area,Ready To Move,NGR Layout,2 BHK,,1020,2,1,73
Plot  Area,Ready To Move,Doddanekundi,4 Bedroom,,3250,5,1,878
Super built-up  Area,Ready To Move,Vasantapura main road,2 BHK,,1037,2,1,64.28
Super built-up  Area,Ready To Move,Whitefield,3 BHK,SearkHy,1345,2,2,85
Super built-up  Area,Ready To Move,Kodichikkanahalli,2 BHK,,1070,2,3,71
Super built-up  Area,Ready To Move,Sector 6 HSR Layout,4 BHK,,3000,5,,298
Super built-up  Area,Ready To Move,Yeshwanthpur,3 BHK,IBityin,1385,2,2,104.18
Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,Niacesa,1207,2,2,107.9
Super built-up  Area,Ready To Move,Varthur,2 BHK,Caiseur,1140,2,3,83.5
Built-up  Area,Ready To Move,Basavanapura,2 BHK,Papusa ,1220,2,2,96
Plot  Area,Ready To Move,CQAL Layout,4 Bedroom,,3811,3,2,503
Super built-up  Area,Ready To Move,Iblur Village,4 BHK,Emine P,3596,5,0,280
Built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Contsci,1965,3,3,148
Built-up  Area,Ready To Move,Koramangala,3 BHK,KHage G,1760,2,0,143
Super built-up  Area,18-Mar,Haralur Road,2 BHK,SNnia E,1225,2,1,98
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,,1075,2,2,80.43
Built-up  Area,Ready To Move,Panathur,2 BHK,,1000,2,1,96
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,SaireSa,1891,3,1,137
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,PuziaVe,1322,2,2,114
Plot  Area,Ready To Move,Mathikere,3 Bedroom,,1095,3,0,243
Built-up  Area,Ready To Move,Bellandur,4 Bedroom,Vaodssh,3600,4,0,288
Super built-up  Area,Ready To Move,AECS Layout,2 BHK,Foncync,1045,2,1,64.58
Super built-up  Area,Ready To Move,Venugopal Reddy Layout,3 BHK,Patust ,1545,3,3,113
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,G conTh,1996,3,2,163
Super built-up  Area,Ready To Move,Brookefield,2 BHK,Gotaten,1125,2,2,98
Super built-up  Area,18-Apr,Mysore Road,3 BHK,PrntaEn,1560,3,1,143
Super built-up  Area,Ready To Move,BEML Layout,3 BHK,,2000,2,2,113
Built-up  Area,Ready To Move,Murugeshpalya,4 BHK,IBaveen,3100,4,2,338
Built-up  Area,Ready To Move,Lake City,2 BHK,Prdenth,780,2,1,63
Plot  Area,Ready To Move,Lakshmipura,2 Bedroom,,1350,2,1,138
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Adeatlm,2275,4,2,208
Super built-up  Area,Ready To Move,Pragathi Nagar,2 BHK,DStra S,1350,2,2,69
Super built-up  Area,Ready To Move,Haralur Road,3 BHK,NRowse ,1464,3,3,84
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,JRrnauv,1570,3,3,92.5
Super built-up  Area,Ready To Move,Dasanapura,1 BHK,Tavenew,708,1,0,56.32
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Mades G,1680,3,1,188
Super built-up  Area,Ready To Move,Hoodi,2 BHK,SMaxyay,1400,2,1,110
Super built-up  Area,Ready To Move,Bellandur,2 BHK,GoncyRe,1310,2,2,100
Built-up  Area,Ready To Move,BTM Layout,6 Bedroom,,3300,6,3,193
Super built-up  Area,18-May,Electronics City Phase 1,2 BHK,Shitt S,1175,2,1,85
Built-up  Area,Ready To Move,Chikkalasandra,3 BHK,V2avei ,1428,2,1,108
Plot  Area,Ready To Move,Akshaya Nagar,4 Bedroom,,750,4,2,90
Super built-up  Area,Ready To Move,Whitefield,4 BHK,,3252,4,3,308
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,,1194,2,2,74
Plot  Area,Ready To Move,Old Town,8 Bedroom,,750,8,,228
Super built-up  Area,18-Jun,8th Phase JP Nagar,2 BHK,,1080,2,2,63
Super built-up  Area,Ready To Move,Vijaya Bank Layout,3 BHK,,1200,2,1,96
Plot  Area,17-Dec,Whitefield,2 Bedroom,,1200,2,1,73
Plot  Area,Ready To Move,Okalipura,5 Bedroom,,1200,4,3,148
Built-up  Area,18-Dec,Bommasandra Industrial Area,3 BHK,,1320,2,1,66.13
Super built-up  Area,20-Jan,Badavala Nagar,3 BHK,DNncasa,1842,3,2,143
Super built-up  Area,Ready To Move,Sector 2 HSR Layout,2 BHK,NDpalSe,1146,2,3,83
Super built-up  Area,20-Aug,Rachenahalli,1 BHK,AsNowre,440,1,1,56
Super built-up  Area,Ready To Move,Sahakara Nagar,2 BHK,KPhtsei,1048,2,3,78
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,1801,3,1,143
Super built-up  Area,19-Mar,Hennur Road,2 BHK,Puachal,1232,2,1,97.61
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Viisear,1150,2,2,118
Super built-up  Area,21-Mar,Talaghattapura,3 BHK,Sodgere,1868,3,1,148
Super built-up  Area,18-Apr,Begur,3 BHK,Arera V,1445,2,2,75.1
Super built-up  Area,Ready To Move,Hebbal Kempapura,3 BHK,Goateds,1466,2,3,168
Built-up  Area,Ready To Move,Harlur,3 BHK,,1730,3,2,128
Super built-up  Area,18-Dec,JP Nagar,3 BHK,Pehtsa ,3860,3,2,430
Super built-up  Area,Ready To Move,Somasundara Palya,2 BHK,ManceEl,1185,2,3,98
Built-up  Area,Ready To Move,Yeshwanthpur,3 BHK,,3027,4,3,288
Built-up  Area,20-Dec,Whitefield,4 BHK,,2400,4,3,175
Built-up  Area,Ready To Move,Kaval Byrasandra,2 BHK,,1185,2,1,77
Super built-up  Area,18-Aug,Hongasandra,2 BHK,,1150,2,2,77
Plot  Area,Ready To Move,Maruthi Extension,5 Bedroom,,2000,4,2,208
Plot  Area,Ready To Move,Vidyapeeta,6 Bedroom,,875,3,1,126
Super built-up  Area,Ready To Move,Pai Layout,2 BHK,,1075,2,2,63
Super built-up  Area,Ready To Move,Hebbal,3 BHK,Mahosya,1760,3,2,151
Super built-up  Area,Ready To Move,Banashankari,2 BHK,,1600,2,1,91.98
Plot  Area,Ready To Move,Madiwala,4 Bedroom,,910,4,1,168
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,Ozensve,1000,2,1,106
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,BriumMi,1215,2,2,118
Super built-up  Area,Ready To Move,EPIP Zone,3 BHK,Ste 2al,1734,3,3,153
Super built-up  Area,Ready To Move,Akshaya Nagar,2 BHK,,1280,2,1,88
Super built-up  Area,Ready To Move,Rachenahalli,2 BHK,Paentta,1113,2,1,83
Super built-up  Area,Ready To Move,Horamavu Banaswadi,2 BHK,,1272,2,2,76
Built-up  Area,Ready To Move,Kereguddadahalli,3 BHK,Jaood G,1240,3,2,69
Built-up  Area,Ready To Move,Varthur,8 Bedroom,,704,8,3,120
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,,1100,2,1,98
Super built-up  Area,19-Apr,Ambalipura,2 BHK,Sisice ,896,2,1,58.13
Super built-up  Area,Ready To Move,Rachenahalli,4 BHK,,3657,5,,248
Super built-up  Area,Ready To Move,BTM 2nd Stage,2 BHK,Fea 3Al,1200,2,0,63
Built-up  Area,Ready To Move,Ramagondanahalli,4 BHK,,2800,4,3,183
Super built-up  Area,19-Jun,Hebbal,4 BHK,Raard B,2790,4,3,226
Built-up  Area,Ready To Move,Ambalipura,3 BHK,AltesEs,3500,3,,226
Built-up  Area,Ready To Move,Ramamurthy Nagar,3 Bedroom,,3600,3,2,178
Built-up  Area,Ready To Move,Sarjapur,2 BHK,Srncya ,1500,2,2,58
Plot  Area,Ready To Move,Meenakshi Layout,8 Bedroom,,1200,7,0,248
Super built-up  Area,Ready To Move,S R Layout,2 BHK,Seasare,1096,2,2,76
Built-up  Area,Ready To Move,Cholanayakanahalli,2 Bedroom,,580,2,0,123
Super built-up  Area,Ready To Move,GD Layout,2 BHK,,1094,2,1,72
Super built-up  Area,Ready To Move,Vittal Nagar,2 BHK,,1100,2,2,77
Super built-up  Area,Ready To Move,Iblur Village,4 BHK,DNionfl,2725 - 3250,5,0,219
Super built-up  Area,19-Sep,Koramangala,4 BHK,Prood P,2503,6,2,353
Super built-up  Area,Ready To Move,Nagarbhavi,2 BHK,,1145,2,2,68
Super built-up  Area,Ready To Move,Rachenahalli,3 BHK,Sovar S,1550,3,2,102.5
Super built-up  Area,Ready To Move,Seegehalli,3 BHK,Paoliy ,1830,4,2,110
Super built-up  Area,19-Dec,Hoodi,3 BHK,Caycend,1746,3,3,112.95
Built-up  Area,Ready To Move,Maruthi Sevanagar,4 Bedroom,,1280,4,1,143
Super built-up  Area,20-Aug,Kengeri,2 BHK,,918,2,1,55.54
Super built-up  Area,18-Jul,Chandapura,1 BHK,SunceEs,645,1,1,44.45
Super built-up  Area,Ready To Move,Banashankari Stage III,3 BHK,Pridsi ,1305,2,1,88
Super built-up  Area,Ready To Move,Thigalarapalya,2 BHK,SLavena,1207,2,2,90
Built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,1678,3,2,153
Super built-up  Area,Ready To Move,Kaggalipura,2 BHK,Baowsig,950,2,1,78
Plot  Area,Ready To Move,Munnekollal,10 Bedroom,,1200,7,,268
Super built-up  Area,18-Feb,Electronic City,2 BHK,GMown E,1070,2,1,83
Super built-up  Area,Ready To Move,Ardendale,3 BHK,SoystAm,1732.46,3,2,120
Super built-up  Area,Ready To Move,Attibele,3 BHK,DSvar S,1639,2,1,68.98
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,Prionad,1360,2,1,131
Plot  Area,Ready To Move,Malleshpalya,4 Bedroom,,2592,4,2,278
Plot  Area,Ready To Move,RMV 2nd Stage,3 Bedroom,,4470,3,,728
Plot  Area,Ready To Move,Kithaganur,5 Bedroom,,720,4,3,90
Super built-up  Area,Ready To Move,Lakshminarayana Pura,3 BHK,RothaVa,1656,3,2,178
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Asira E,985,2,1,77
Super built-up  Area,Ready To Move,Dodda Nekkundi,3 BHK,,1999,3,2,163
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,Brnia G,1050,2,1,103
Super built-up  Area,Ready To Move,Whitefield,3 BHK,,1440,2,2,92
Super built-up  Area,Ready To Move,Basavangudi,3 BHK,Swers T,1600,2,2,188
Super built-up  Area,17-Nov,Ramagondanahalli,2 BHK,ViistLa,1253,2,1,80.66
Plot  Area,Ready To Move,Shirdi Sai Nagar,3 Bedroom,,1200,3,0,113
Super built-up  Area,Ready To Move,Padmanabhanagar,3 BHK,,1360,2,3,103
Super built-up  Area,Ready To Move,Hagadur,2 BHK,,1086,2,1,75.5
Super built-up  Area,Ready To Move,Wilson Garden,3 BHK,Gonoril,1655,3,2,183
Plot  Area,17-Feb,Old Madras Road,4 Bedroom,,2600,4,,288
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Contsci,1418,2,2,106
Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,PuamaPa,1270,2,2,128
Super built-up  Area,Ready To Move,Begur Road,3 BHK,Dhalsh ,1410,2,3,80.17
Super built-up  Area,19-Jan,"JP Nagar 7th Phase, ",2 BHK,,1150,2,1,102
Plot  Area,Ready To Move,Ramamurthy Nagar,2 Bedroom,,600,3,2,73
Built-up  Area,Ready To Move,Raghuvanahalli,3 BHK,,1440,3,2,93.8
Plot  Area,Ready To Move,J C Nagar,3 Bedroom,,1200,2,0,136
